Labels,MFCC Features
0,[-717.5712 -717.5712 -717.0941 ...    0.        0.        0.    ]
0,[-669.71497 -669.71497 -653.0248  ...    0.         0.         0.     ]
0,[-559.966  -559.966  -504.3064 ...    0.        0.        0.    ]
0,[-479.9994  -451.33322 -440.08194 ...    0.         0.         0.     ]
0,[-598.1182 -598.1182 -598.1182 ...    0.        0.        0.    ]
0,[-379.34918 -354.38715 -361.03577 ...    0.         0.         0.     ]
0,[-614.4035 -614.4035 -614.4035 ...    0.        0.        0.    ]
0,[-614.4035 -614.4035 -614.4035 ...    0.        0.        0.    ]
0,[-651.121 -651.121 -651.121 ...    0.       0.       0.   ]
0,[-598.1182 -598.1182 -598.1182 ...    0.        0.        0.    ]
0,[-645.56476 -645.56476 -642.9328  ...    0.         0.         0.     ]
0,[-673.09283 -672.46063 -666.46796 ...    0.         0.         0.     ]
0,[-672.11395 -672.11395 -672.02374 ...    0.         0.         0.     ]
0,[-515.8242  -475.24033 -464.68512 ...    0.         0.         0.     ]
0,[-544.8074 -544.8074 -543.068  ...    0.        0.        0.    ]
0,[-574.2031 -574.2031 -563.5135 ...    0.        0.        0.    ]
0,[-774.81683 -733.5608  -676.5732  ...    0.         0.         0.     ]
0,[-549.24365 -500.11493 -470.98923 ...    0.         0.         0.     ]
0,[-574.1152 -574.1152 -574.1152 ...    0.        0.        0.    ]
0,[-564.0725  -471.3711  -403.64023 ...    0.         0.         0.     ]
0,[-615.6287 -614.9255 -608.8136 ...    0.        0.        0.    ]
0,[-589.8353 -589.8353 -589.8353 ...    0.        0.        0.    ]
0,[-562.9771  -516.8759  -351.67038 ...    0.         0.         0.     ]
0,[-537.38464 -522.763   -512.4722  ...    0.         0.         0.     ]
0,[-608.4523 -536.2431 -437.4802 ...    0.        0.        0.    ]
0,[-597.66705 -545.852   -569.1912  ...    0.         0.         0.     ]
0,[-630.70233 -630.70233 -630.70233 ...    0.         0.         0.     ]
0,[-699.3718 -699.3718 -699.3718 ...    0.        0.        0.    ]
0,[-725.20154 -725.20154 -725.20154 ...    0.         0.         0.     ]
0,[-680.7099 -680.7099 -680.7099 ...    0.        0.        0.    ]
0,[-800.7773 -800.7773 -800.7773 ...    0.        0.        0.    ]
0,[-655.9245 -639.486  -570.7277 ...    0.        0.        0.    ]
0,[-481.88956 -409.06833 -378.9805  ...    0.         0.         0.     ]
0,[-878.58203 -878.58203 -878.58203 ...    0.         0.         0.     ]
0,[-641.85486 -611.17    -629.9714  ...    0.         0.         0.     ]
0,[-667.3136 -667.3136 -655.1539 ...    0.        0.        0.    ]
0,[-720.2887 -621.1876 -519.0412 ...    0.        0.        0.    ]
0,[-620.14215 -475.82898 -385.1756  ...    0.         0.         0.     ]
0,[-713.5901  -711.91943 -693.944   ...    0.         0.         0.     ]
0,[-625.71747 -625.71747 -625.71747 ...    0.         0.         0.     ]
0,[-355.0549  -301.8004  -266.47363 ...    0.         0.         0.     ]
0,[-534.50214 -464.63666 -469.91656 ...    0.         0.         0.     ]
0,[-569.6061 -569.6061 -569.6061 ...    0.        0.        0.    ]
0,[-564.62555 -564.62555 -564.62555 ...    0.         0.         0.     ]
0,[-527.5474  -488.51523 -484.28497 ...    0.         0.         0.     ]
0,[-692.1805 -692.1805 -692.1805 ...    0.        0.        0.    ]
0,[-541.2389 -472.0586 -389.5683 ...    0.        0.        0.    ]
0,[-625.83704 -625.83704 -625.83704 ...    0.         0.         0.     ]
0,[-495.4719  -468.38773 -470.61798 ...    0.         0.         0.     ]
0,[-547.03906 -547.03906 -547.03906 ...    0.         0.         0.     ]
0,[-620.6252  -592.23126 -573.28217 ...    0.         0.         0.     ]
0,[-585.1469 -585.1469 -585.1469 ...    0.        0.        0.    ]
0,[-637.42267 -637.42267 -637.35394 ...    0.         0.         0.     ]
0,[-629.30005 -620.7189  -617.09686 ...    0.         0.         0.     ]
0,[-628.72424 -628.72424 -628.72424 ...    0.         0.         0.     ]
0,[-711.48444 -711.48444 -711.48444 ...    0.         0.         0.     ]
0,[-562.97833 -531.1629  -523.3358  ...    0.         0.         0.     ]
0,[-573.1881  -553.03973 -494.46228 ...    0.         0.         0.     ]
0,[-550.53613 -550.53613 -550.53613 ...    0.         0.         0.     ]
0,[-476.54697 -438.21234 -419.50925 ...    0.         0.         0.     ]
0,[-645.8641 -645.8641 -645.8641 ...    0.        0.        0.    ]
0,[-485.48218 -473.9314  -498.36743 ...    0.         0.         0.     ]
0,[-407.34683 -361.0257  -349.22565 ...    0.         0.         0.     ]
0,[-698.2023 -698.2023 -697.975  ...    0.        0.        0.    ]
0,[-719.8979  -719.8979  -719.45496 ...    0.         0.         0.     ]
0,[-660.29236 -658.3763  -620.5107  ...    0.         0.         0.     ]
0,[-703.79694 -703.79694 -702.8033  ...    0.         0.         0.     ]
0,[-700.4794 -700.4794 -700.2568 ...    0.        0.        0.    ]
0,[-486.6632  -444.64786 -406.87003 ...    0.         0.         0.     ]
0,[-467.50305 -404.79065 -394.8928  ...    0.         0.         0.     ]
0,[-469.6731  -432.40872 -421.13373 ...    0.         0.         0.     ]
0,[-473.72635 -432.4171  -423.01764 ...    0.         0.         0.     ]
0,[-464.77847 -435.78647 -428.57312 ...    0.         0.         0.     ]
0,[-695.2255  -694.4273  -673.63635 ...    0.         0.         0.     ]
0,[-696.37054 -696.37054 -695.9595  ...    0.         0.         0.     ]
